,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
390,7.2,31.0,16.01991,12.7,41.9
391,7.5,31.0,15.91617,12.4,42.4
392,7.8,31.2,15.6888,12.2,42.9
393,8.1,31.3,15.43646,12.0,43.4
394,5.911764705882353,31.4,15.37053,13.758823529411766,39.24705882352941
395,5.911764705882353,31.4,15.34035,13.758823529411766,39.24705882352941
396,5.911764705882353,31.4,15.22884,13.758823529411766,39.24705882352941
397,11.0,26.3,9.95702,3.8,46.0
398,11.4,25.9,9.72301,3.6,46.7
399,11.9,25.8,9.54798,3.5,47.4
400,12.3,25.6,9.37645,3.4,48.1
401,12.8,25.3,9.15166,3.2,48.8
402,13.2,24.9,8.93773,3.1,49.5
403,13.7,24.5,8.7878,3.0,50.2
404,14.1,23.9,8.66998,2.9,50.8
405,14.6,23.3,8.58518,2.7,51.5
406,15.0,22.6,8.54016,2.6,52.1
407,15.5,21.9,8.46821,2.5,52.7
408,16.0,21.3,8.42015,2.4,53.4
409,16.5,20.8,8.38228,2.3,54.0
410,17.0,20.3,8.32989,2.3,54.6
411,17.5,19.9,8.28527,2.2,55.3
412,18.0,19.6,8.17096,2.1,55.9
413,18.5,19.4,8.22515,2.0,56.5
414,14.647058823529411,19.3,7.79149,2.8000000000000003,51.38235294117647
415,14.647058823529411,19.2,7.6142,2.8000000000000003,51.38235294117647
416,14.647058823529411,19.1,7.47693,2.8000000000000003,51.38235294117647
417,5.3,28.7,5.08424,11.1,28.5
418,5.6,27.9,5.0384,10.7,29.2
419,6.0,27.2,4.96691,10.4,30.0
420,6.3,26.5,4.86333,10.1,30.7
421,6.7,25.9,4.74701,9.7,31.5
422,7.1,25.4,4.62589,9.4,32.2
423,7.5,25.1,4.52786,9.1,33.0
424,7.9,24.7,4.45251,8.7,33.8
425,8.3,24.3,4.38937,8.4,34.6
426,8.8,23.9,4.32779,8.1,35.4
427,9.3,23.6,4.28432,7.8,36.2
428,9.8,23.3,4.2517,7.4,37.0
429,10.3,23.1,4.25501,7.1,37.9
430,10.8,22.9,4.29759,6.8,38.7
431,11.3,22.7,4.33862,6.6,39.5
432,11.9,22.7,4.35262,6.3,40.4
433,12.5,22.7,4.40621,6.0,41.2
434,8.552941176470588,22.6,4.49694,8.452941176470588,34.69411764705882
435,8.552941176470588,22.6,4.57461,8.452941176470588,34.69411764705882
436,8.552941176470588,22.7,4.6087,8.452941176470588,34.69411764705882
437,17.1,27.9,7.61028,0.7,54.0
438,17.6,27.7,7.61849,0.7,54.5
439,18.1,27.7,7.83033,0.7,54.9
440,18.5,27.7,7.90427,0.6,55.4
441,19.0,27.6,7.78927,0.6,55.9
442,19.5,27.5,7.57787,0.6,56.4
443,20.0,27.3,7.26416,0.6,56.9
444,20.5,26.9,7.14075,0.6,57.4
445,21.1,26.6,7.03039,0.5,57.9
446,21.6,26.3,6.90548,0.5,58.4
447,22.1,25.9,6.77726,0.5,58.9
448,22.7,25.7,6.61143,0.5,59.3
449,23.2,25.6,6.35852,0.5,59.8
450,23.8,25.5,6.02735,0.4,60.3
451,24.4,25.5,5.86985,0.4,60.8
452,24.9,25.6,5.83079,0.4,61.2
453,25.5,25.6,5.80621,0.4,61.7
454,21.15294117647059,25.7,5.52018,0.5411764705882353,57.864705882352936
455,21.15294117647059,25.7,5.25179,0.5411764705882353,57.864705882352936
456,21.15294117647059,25.8,5.01991,0.5411764705882353,57.864705882352936
457,0.8,58.8,29.67065,13.9,14.4
458,0.9,58.7,29.38406,13.8,14.8
459,1.0,58.6,29.04506,13.6,15.3
460,1.0,58.5,28.48042,13.4,15.8
461,1.1,58.4,27.8577,13.2,16.3
462,1.2,58.2,27.16646,13.0,16.8
463,1.3,58.0,26.36028,12.8,17.3
464,1.4,57.9,25.67214,12.6,17.8
465,1.5,57.7,24.93167,12.4,18.4
466,1.6,57.5,24.25791,12.2,19.0
467,1.7,57.3,23.6573,12.0,19.5
468,1.8,57.1,23.00151,11.8,20.1
469,2.0,56.9,22.1607,11.6,20.7
470,2.1,56.8,21.51443,11.4,21.3
471,2.2,56.6,20.97855,11.2,21.9
472,2.4,56.3,20.18782,11.0,22.6
473,2.6,56.1,19.49313,10.8,23.2
474,1.5647058823529412,55.9,19.52317,12.394117647058822,18.541176470588237
475,1.5647058823529412,55.6,19.63341,12.394117647058822,18.541176470588237
