,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
2534,-0.3346466205062779,-0.16962883652110305,2.545063838207927,1.6729278837933395,-0.6583108776579938
2535,-0.3336272354963688,-0.16905441564372203,-0.1372806469069774,-0.11491164823617901,-0.6284948091306678
2536,-0.3343917742538006,-0.16847999476634104,-0.12425834512151596,-0.08962410045272531,-0.6151443306855964
2537,-0.3333723892438915,-0.16819278432765053,-0.055880864315208834,-0.06110133115128404,-0.6240446496489773
2538,-0.3333723892438915,-0.16790557388896005,0.10327209642385676,0.06555098878503476,-0.610694171203906
2539,-0.3326078504864597,-0.16761836345026954,0.2272479161197736,0.1416942380833846,-0.6494105586946128
2540,-0.3341369280013234,-0.16761836345026954,0.27448932505664825,0.17336969774164027,-0.6365050961977106
2541,-0.33451919738003927,-0.16704394257288852,0.35930030288902565,0.2279723139737975,-0.6369501121458796
2542,-0.3343917742538006,-0.16646952169550752,0.5822412842503835,0.39115292584535327,-0.610694171203906
2543,-0.3352837361374711,-0.16589510081812653,0.7834083089074202,0.510393947508323,-0.6017938522405252
2544,-0.3352837361374711,-0.166182311256817,0.6479617670332333,0.4905039376655935,-0.6240446496489773
2545,-0.335666005516187,-0.16646952169550752,0.5906111333996539,0.42901822259159544,-0.6338350005086963
2546,-0.3350288898849938,-0.16675673213419803,0.6793618212543284,0.49213805465682176,-0.6467404630055986
2547,-0.3352837361374711,-0.16646952169550752,0.5518107580093788,0.45907607149085716,-0.6534157022281343
2548,-0.3349014667587552,-0.16675673213419803,0.6016037934250528,0.5163857098094938,-0.6578658617098248
2549,-0.3350288898849938,-0.16733115301157903,0.6462608226370465,0.5123086704475401,-0.6329449686123583
2550,-0.33541115926370973,-0.16675673213419803,0.46793470925403335,0.3485833529122415,-0.6534157022281343
2551,-0.33541115926370973,-0.16675673213419803,0.5143581010651052,0.3484513030543645,-0.6618710052433462
2552,-0.33541115926370973,-0.16646952169550752,0.6189591104414346,0.4050016546902081,-0.6618710052433462
2553,-0.33541115926370973,-0.16646952169550752,0.7679898440137345,0.4969743807015686,-0.6640960849841914
2554,-0.33541115926370973,-0.166182311256817,0.7813915910246378,0.5209414299062518,-0.6471854789537677
2555,-0.332862696738937,-0.1736497826627701,-0.6162304512732277,-0.4867310355534626,-0.2324306152602177
2556,-0.33273527361269833,-0.1736497826627701,-0.6187815495961073,-0.48621934235418907,-0.25468141266866995
2557,-0.3326078504864597,-0.1736497826627701,-0.6273630939667706,-0.4876718907908365,-0.31698364541233626
2558,-0.33248042736022104,-0.1736497826627701,-0.6276278025762803,-0.48841467124139487,-0.2769322100771222
2559,-0.33235300423398245,-0.1736497826627701,-0.6237803127141952,-0.48816707775787543,-0.2324306152602177
2560,-0.3322255811077438,-0.17336257222407958,-0.6165524330853223,-0.48782044688094817,-0.14342742562640867
2561,-0.3322255811077438,-0.17336257222407958,-0.6114338616936056,-0.4871767038237976,-0.1879290204433132
2562,-0.3322255811077438,-0.17336257222407958,-0.6046659326136948,-0.48681356671463566,-0.1879290204433132
2563,-0.3326078504864597,-0.17336257222407958,-0.5984188430419295,-0.48659898569558546,-0.1879290204433132
2564,-0.33273527361269833,-0.17336257222407958,-0.5964753602978922,-0.4870941726626244,-0.24133093422359855
2565,-0.3329901198651756,-0.17336257222407958,-0.5877102184182029,-0.4864339233732392,-0.28583252904050305
2566,-0.3331175429914143,-0.17336257222407958,-0.5709346221520983,-0.4864174171410046,-0.2324306152602177
2567,-0.3333723892438915,-0.17336257222407958,-0.5609592125674666,-0.4865659732311163,-0.28138236955881263
2568,-0.33349981237013016,-0.17336257222407958,-0.5543759964667356,-0.4856911429226809,-0.2902826885221936
2569,-0.33375465862260745,-0.17307536178538907,-0.5524248947180432,-0.48579018031608856,-0.31698364541233626
2570,-0.3338820817488461,-0.17307536178538907,-0.5570853696447577,-0.4861863298897197,-0.25468141266866995
2571,-0.3341369280013234,-0.17307536178538907,-0.5534179616444594,-0.4861368111930159,-0.28138236955881263
2572,-0.3338820817488461,-0.17307536178538907,-0.5482797979063607,-0.48610379872854664,-0.31698364541233626
2573,-0.33349981237013016,-0.17307536178538907,-0.5365908342790517,-0.4853940307424575,-0.31253348593064584
2574,-0.33349981237013016,-0.17307536178538907,-0.5411289333540896,-0.48475028768530687,-0.3525849212658599
2575,2.9802660085918844,-0.07513660219192769,-0.49086765158077894,-0.23461484440171843,1.9036459359511986
2576,2.973385159774998,-0.08001917964966623,-0.5115466988240006,-0.26178410265991997,1.9926491255850076
2577,3.017728407706044,-0.08088081096573775,-0.5201923984196647,-0.29123122096650056,2.126153910035721
2578,3.0537891524315786,-0.08174244228180925,-0.4459145936069638,-0.22243324501256118,2.304160289303339
2579,3.006770018849521,-0.0863378093008573,-0.3824276269683496,-0.1492611175164448,2.4376650737540526
2580,2.9415293782153387,-0.09150759719728634,-0.3493280407964051,-0.16164079169241757,2.482166668570957
2581,2.838316645962042,-0.09466691202288187,-0.33558494643796405,-0.1596600438242619,2.482166668570957
2582,2.6990431689832106,-0.10127275211276343,-0.3077446319285233,-0.14401213566583235,2.304160289303339
2583,2.587038241019448,-0.10529369825443047,-0.3280957904677409,-0.1570355528989557,2.126153910035721
2584,2.4824238543775263,-0.11046348615085952,-0.3143212398385876,-0.1432858614475086,1.859144341134294
2585,2.40635224801306,-0.11706932624074107,-0.22316892160521862,-0.061002293757876254,1.5921347722328671
2586,2.2492395333608193,-0.12396237676931314,-0.17812191648907985,-0.016980172388117054,1.414128392965249
2587,2.1991622447490347,-0.12769611247228968,-0.2021815997924928,-0.038768398937829116,1.1916204188807265
2588,2.16590480880075,-0.1308554272978852,-0.2361884925890729,-0.07079048947301207,1.058115634430013
2589,2.1619546918873525,-0.13257868993002822,-0.2554212506558887,-0.10362138538769185,0.9691124447962041
2590,2.1071627476047383,-0.13487637343955225,-0.29199352850361554,-0.1481221874922553,0.9246108499792995
2591,1.9873850089404186,-0.13803568826514775,-0.3174268836167959,-0.1736408225269938,0.9246108499792995
2592,1.9764266200838958,-0.1397589508972908,-0.25541572136259466,-0.12240547767070119,0.9691124447962041
2593,2.056703189614238,-0.1406205822133623,-0.23095493856625404,-0.1037534352455689,0.9691124447962041
2594,2.098752821272988,-0.1411950030907433,-0.24855532825834445,-0.12892543940338022,1.0136140396131086
2595,-0.27781590620384544,0.07909540338487221,0.103147396311242,-0.015841242363927564,-0.6195944901672868
2596,-0.27514002055283404,0.07277677373368116,0.13170302101255835,0.00863750004002924,-0.6240446496489773
2597,-0.2733560967854931,0.0670325649598711,0.2211624435190387,0.07035430236531214,-0.6240446496489773
2598,-0.27042536488200447,0.06243719794082306,0.452345809283119,0.2915543205415937,-0.6240446496489773
2599,-0.2622702848027316,0.05755462048308452,0.6305022573531781,0.4188999022317668,-0.6284948091306678
2600,-0.2770513674464136,0.05496972653486999,0.7120659056453736,0.4762425530148727,-0.6284948091306678
2601,-0.2784530218350386,0.04865109688367893,0.8141662629681012,0.541475182806132,-0.6360600802495415
2602,-0.2822757156221978,0.04721504469022642,1.0353815738107626,0.7004136929933877,-0.6351700483532035
2603,-0.28049179185485684,0.04692783425153592,1.1885761536725918,0.8297070100872475,-0.6418452875757391
2604,-0.28393221626330006,0.03802431065213034,1.013217913107927,0.7176627056785764,-0.6378401440422177
2605,-0.28750006379798193,0.03170568100093928,0.9308649972043238,0.6856241089111589,-0.6382851599903867
